Examen No. 1 - Topicos Avanzados de Bases de Datos - UPB 202620
Andres Felipe Martinez - ID SIGAA 000549446 - PostgreSQL 18 (Azure)
Jose Miguel Jaramillo  - ID SIGAA 000210186 - MS SQL Server 2025 (Docker)
Etapa 5 - Funcion con CTE y Window Functions

Pregunta: Para cada almacen y cada clase de conservacion, cuales fueron sus
episodios de exposicion termica -rachas de lecturas consecutivas fuera de
rango-, cuanto duro cada racha, que tan lejos del limite llego, cuantas
unidades habia expuestas, como se acumula el tiempo de exposicion y cuales
son los episodios mas severos de cada almacen?

--- Los 10 episodios mas severos de la red para medicamentos congelados ---
            almacen             |    ciudad     | clase_conservacion | episodio |    fecha_inicio     |      fecha_fin      | lecturas | duracion_horas | ventana_exposicion_horas | desviacion_maxima_c | unidades_en_riesgo | horas_acumuladas | severidad_en_almacen 
 Unidad de Salud Medellín 18    | Medellín      | Refrigerado         |        1 | 2026-02-08 16:52:00 | 2026-07-30 15:48:00 |       39 |        4126.93 |                  4126.93 |               27.70 |              34519 |          4126.93 |                    2
 Unidad de Salud Pereira 10     | Pereira       | Ambiente controlado |        1 | 2026-02-20 03:43:00 | 2026-02-20 03:43:00 |        1 |           0.00 |                   120.82 |                0.80 |              46152 |             0.00 |                    4
 Unidad de Salud Pereira 10     | Pereira       | Ambiente controlado |        2 | 2026-04-22 09:31:00 | 2026-04-22 09:31:00 |        1 |           0.00 |                    65.15 |                0.80 |              46152 |             0.00 |                    4
 Unidad de Salud Pereira 10     | Pereira       | Ambiente controlado |        3 | 2026-06-23 05:27:00 | 2026-06-23 05:27:00 |        1 |           0.00 |                   108.60 |                0.20 |              46152 |             0.00 |                    6
 Unidad de Salud Pereira 10     | Pereira       | Ambiente controlado |        4 | 2026-07-27 05:03:00 | 2026-07-30 03:17:00 |        2 |          70.23 |                    70.23 |                0.60 |              46152 |            70.23 |                    3
 Unidad de Salud Pereira 10     | Pereira       | Congelado           |        1 | 2026-02-04 19:22:00 | 2026-07-30 03:17:00 |       43 |        4207.92 |                  4207.92 |               40.60 |              33313 |          4207.92 |                    1
 Unidad de Salud Pereira 10     | Pereira       | Refrigerado         |        1 | 2026-02-04 19:22:00 | 2026-07-30 03:17:00 |       43 |        4207.92 |                  4207.92 |               17.60 |              32816 |          4207.92 |                    2
 Unidad de Salud Pereira 3      | Pereira       | Ambiente controlado |        1 | 2026-02-05 13:08:00 | 2026-08-03 21:25:00 |       46 |        4304.28 |                  4304.28 |               18.00 |              41914 |          4304.28 |                    2
 Unidad de Salud Pereira 3      | Pereira       | Congelado           |        1 | 2026-02-05 13:08:00 | 2026-08-03 21:25:00 |       46 |        4304.28 |                  4304.28 |               26.50 |              26028 |          4304.28 |                    1
 Unidad de Salud Pereira 3      | Pereira       | Refrigerado         |        1 | 2026-03-10 22:30:00 | 2026-03-10 22:30:00 |        1 |           0.00 |                     5.12 |                2.40 |              54849 |             0.00 |                    5
 Unidad de Salud Pereira 3      | Pereira       | Refrigerado         |        2 | 2026-04-08 22:04:00 | 2026-04-08 22:04:00 |        1 |           0.00 |                    32.82 |                0.50 |              54849 |             0.00 |                    6
 Unidad de Salud Pereira 3      | Pereira       | Refrigerado         |        3 | 2026-04-23 11:26:00 | 2026-04-23 11:26:00 |        1 |           0.00 |                   343.07 |                5.00 |              54849 |             0.00 |                    3
 Unidad de Salud Pereira 3      | Pereira       | Refrigerado         |        4 | 2026-05-08 16:51:00 | 2026-05-08 16:51:00 |        1 |           0.00 |                    26.33 |                3.50 |              54849 |             0.00 |                    4
 Unidad de Salud Santa Marta 24 | Santa Marta   | Ambiente controlado |        1 | 2026-02-08 08:35:00 | 2026-07-30 21:15:00 |       37 |        4140.67 |                  4140.67 |               14.00 |              25832 |          4140.67 |                    2
 Unidad de Salud Santa Marta 24 | Santa Marta   | Congelado           |        1 | 2026-02-08 08:35:00 | 2026-07-30 21:15:00 |       37 |        4140.67 |                  4140.67 |               23.80 |              35383 |          4140.67 |                    1
 Unidad de Salud Santa Marta 24 | Santa Marta   | Refrigerado         |        1 | 2026-05-16 22:19:00 | 2026-05-16 22:19:00 |        1 |           0.00 |                    15.92 |                1.00 |              37752 |             0.00 |                    3
 Unidad de Salud Santa Marta 24 | Santa Marta   | Refrigerado         |        2 | 2026-05-23 06:09:00 | 2026-05-23 06:09:00 |        1 |           0.00 |                    51.80 |                0.20 |              37752 |             0.00 |                    5
 Unidad de Salud Santa Marta 24 | Santa Marta   | Refrigerado         |        3 | 2026-06-09 05:58:00 | 2026-06-09 05:58:00 |        1 |           0.00 |                   189.30 |                0.80 |              37752 |             0.00 |                    4
 Unidad de Salud Santa Marta 24 | Santa Marta   | Refrigerado         |        4 | 2026-06-24 19:24:00 | 2026-06-24 19:24:00 |        1 |           0.00 |                    41.15 |                0.20 |              37752 |             0.00 |                    5
 Unidad de Salud Santa Marta 6  | Santa Marta   | Ambiente controlado |        1 | 2026-02-09 05:53:00 | 2026-07-31 21:50:00 |       37 |        4143.95 |                  4143.95 |               42.10 |              32554 |          4143.95 |                    1
 Unidad de Salud Santa Marta 6  | Santa Marta   | Congelado           |        1 | 2026-02-22 01:18:00 | 2026-02-22 01:18:00 |        1 |           0.00 |                   325.08 |                0.50 |              29142 |             0.00 |                    5
 Unidad de Salud Santa Marta 6  | Santa Marta   | Congelado           |        2 | 2026-03-30 05:17:00 | 2026-03-30 05:17:00 |        1 |           0.00 |                    37.45 |                2.10 |              29142 |             0.00 |                    3
 Unidad de Salud Santa Marta 6  | Santa Marta   | Congelado           |        3 | 2026-05-11 18:14:00 | 2026-05-11 18:14:00 |        1 |           0.00 |                    38.00 |                1.20 |              29142 |             0.00 |                    4
 Unidad de Salud Santa Marta 6  | Santa Marta   | Congelado           |        4 | 2026-07-16 17:44:00 | 2026-07-16 17:44:00 |        1 |           0.00 |                   219.03 |                0.50 |              29142 |             0.00 |                    5
 Unidad de Salud Santa Marta 6  | Santa Marta   | Refrigerado         |        1 | 2026-02-09 05:53:00 | 2026-07-31 21:50:00 |       37 |        4143.95 |                  4143.95 |               29.10 |              30694 |          4143.95 |                    2
(140 rows)

